原始词	标准词
手变凉	四肢厥冷
耳朵有点红	红肿
大热肺炎	肺炎
高烧37.6	低热
病毒性肠胃感冒	肠胃型感冒
晚上烧	发热
中度的发热	中等度热
不烧了	发热
过几个小时又烧	发热
支气管的炎症	支气管炎
胃火	上火
屎还挺绿	绿便
对冷空气敏感	过敏
气道高反应	气管痉挛
几天没拉了	便秘
手脚一直冰凉	四肢厥冷
38度1	低热
有点烫	发热
温度到了38度	低热
发烧38.4	低热
大便发黑色	黑便
38.1	低热
六天前大便一次	便秘
三天就大便一次	便秘
食欲有减少	食欲不振
满七天时，孩子还没有大便	便秘
声音沙哑	声音嘶哑
拉出来特别硬	便秘
更干更硬	大便干燥
肛门开了十分钟都拉不出	便秘
大便不通畅	便秘
胃肠功能出现了紊乱	胃肠功能紊乱
大便干燥，困难	大便干燥
超过5天不大便	便秘
超过5天不解大便	便秘
炎	炎症
三十八度六	中等度热
大便有血丝	血便
拉两三次	腹泻
大便是绿的稀的	绿便
最高都是39度	高热
不是很好	精神软
很快睡着	嗜睡
发烧39	高热
小孩昏沉沉的	精神软
感染病毒或者是细菌	病毒感染
昏睡	嗜睡
出气不顺畅	呼吸困难
出气有点粗	粗呼吸音
最好38.7	中等度热
咽喉肿痛	咽喉痛
没有尿	尿量减少
细菌性或者病毒性炎症	炎症
吱吱的声音	痰鸣音
刘鼻涕	鼻流涕
吃奶量减少	食欲不振
吃鸡蛋嘴边发红	过敏
呼吸音粗糙	粗糙呼吸音
拉的时候前面干	大便干燥
后面才稀	稀便
三四天拉一次	便秘
屁眼出血	出血点
大便干燥	便秘
肛周破裂	肛裂
不怎么吃东西	食欲不振
晚上睡不好	睡眠障碍
大便是黄绿色或墨绿色的	绿便
皮肤仍黄染	黄疸
不愿意喝水	食欲不振
浅咳	咳嗽
喘气吱吱	粗糙呼吸音
体温37.5度	低热
没有精神头	精神软
经常不耐烦	烦躁
中度发热	中等度热
体温上升	发热
偏稀的鼻粪	鼻流涕
鼻子很堵	鼻塞
吃奶不行	食欲不振
甲减	甲状腺功能减退
12天了才便一次	便秘
哭的很厉害	哭闹
困难	便秘
头也痛	头痛
腰也痛	腰痛
腹压增大	负压增高
痰特别多	痰
鼻子有响声	痰鸣音
三十八度二	中等度热
体温不到38.5	中等度热
超过三十八度五	中等度热
吐了两次奶	呕吐
湿咳	咳嗽
胃肠不舒服	腹部不适
轻胃肠刺激	胃肠功能紊乱
烦热	发热
喘粗气	粗呼吸音
咕噜咕噜的声音	痰鸣音
呼吸比较粗	粗呼吸音
呼哧呼哧得声音	痰鸣音
拉屎总是黑色	黑便
嗓子发紧	嗓子沙哑
喝不进去	食欲不振
小儿肺热	上火
流鼻涕眼泪	鼻流涕
一直想睡觉	嗜睡
四天没拉粑粑	便秘
睡不着那种的	睡眠障碍
上大便的时候，非常痛	肛门疼痛
整个排便过程都疼	肛门疼痛
带血丝	血便
最高的时候40度	超高热
很高的烧	超高热
拉了2次稀	稀便
不想动	精神软
不吃东西也不喝水	食欲不振
一点精神都没有	精神软
下呼吸道问题	下呼吸道感染
不大动	精神软
有时候出幼儿急疹	幼儿急疹
舌苔有点厚	舌苔厚黄
舌苔厚呢	舌苔厚黄
嗝	呃逆
细菌和病毒感染	细菌感染
三十八度以下	中等度热
喘气声明显	气喘
吸入喉咙里堵住	咽部不适
鼻子也像堵住了一样	鼻塞
呼吸声还是挺重的	粗糙呼吸音
牙不疼	牙痛
牙龈上面肿	牙龈炎
嗓子炎症	咽喉炎
七个月就生了	早产
肚子想	肠鸣音
付账	腹胀
喉咙里有声音	痰鸣音
不太吃奶，食欲不太好	食欲不振
嘴里吐沫沫	口吐白沫
抗力差	免疫力低下
睡觉咳嗽	咳嗽
睡着了也会咳嗽	咳嗽
38度以上	低热
38.3到38.5	低热
鼻子通气	鼻塞
胃肠刺激	腹部不适
39.8度	高热
呼吸好重	粗呼吸音
谈多	痰
呼吸也重	粗呼吸音
会阴撕裂	器官异常
陶土色或白色大便	陶土便
白色大便	陶土便
感染风疹	风疹
疱疹病毒	疱疹
脓血样分泌物	脓血便
甲亢	甲状腺功能亢进症
甲状腺功能亢进	甲状腺功能亢进症
尿拉的少	尿量减少
轻度感冒	感冒
黑色的有点硬的屎	黑便
39，5度左右	高热
口周有没有青紫	口周发青
额头感觉有点热	发热
屁屁痛	肛门疼痛
大便好大圈	便秘
大便那么大	便秘
大便会那么大	便秘
大便成小蛋蛋	便秘
神经脑损	脑病
胆道先天问题	器官异常
脑损伤	脑病
肾有积液	肾积水
呼吸有点气粗	粗呼吸音
气有点粗	粗呼吸音
双肾有点积液	肾积水
体温还有38度	低热
浑身无力	乏力
体温超过38度五	中等度热
病理性黄胆	病理性黄疸
尿液黄	尿黄
眼白的地方发黄	眼发黄
皮肤颜色是金黄色	皮肤黄
眼睛和脸看着黄	眼发黄
皮肤颜色黄绿色	皮肤黄
胆红素升高	胆红素高
乳汁当中还有上述病毒	病毒感染
大便几次，还有点稀	稀便
鼻腔里分泌物	鼻流涕
不爱喝水	食欲不振
粑粑有一点是特别稀的	稀便
两天一次	便秘
比较干	大便干燥
手很热	发热
不喜欢喝水	食欲不振
有少量的汉	出汗
黄绿色，有块	绿便
陶土色样大便	陶土便
胆道梗阻性黄疸	梗阻性黄疸
肠闭锁	先天性肠道闭锁
解大便的时候很难受	便秘
是稀的	稀便
肚子还咕咕叫	肠鸣音
喉咙有点肿	喉水肿
有呼	痰鸣音
拉屎拉不出来	便秘
没拉大便	便秘
发烧惊厥	热惊厥
肿瘤,	血管瘤
肿瘤	血管瘤
eb病毒感染	EB病毒感染
吃奶量下降	食欲不振
吃的比平时少	食欲不振
399	高热
35度多	低温
不低于35度	低温
11天没有大便了	便秘
这么久了,不大便	便秘
很久不拉大便	便秘
一个礼拜,大便一次	便秘
俩三天解一次	便秘
肠蠕动功能不好	胃肠功能紊乱
几天不排便	便秘
稀汤	稀便
肠胃一直不是特好	胃肠功能紊乱
几天排便一次	便秘
四五天不排便	便秘
粑粑不干是西的	稀便
大便次数减少	便秘
发烧38.9	中等度热
精神还是不算太好	精神软
拉屎不算太好,发绿	绿便
舌头上有一个小点	口腔溃疡
积住食	积食
不上厕所	便秘
肠道闭锁	先天性肠道闭锁
发烧39.7	高热
最低39	高热
全身都好烫手脚也是烫的	发热
高烧38度8	中等度热
烧的比较高	高热
体温超过三十九度了	高热
流稠鼻	鼻流涕
呼吸有困难	呼吸困难
呼吸道炎症感染	呼吸道感染
胃肠感冒	感冒
肺炎支原体	支原体肺炎
3天没有排便	便秘
气道炎症	炎症
塞	鼻塞
呼吸急促些	呼吸急促
听着气管有杂音	啰音
药物过敏	过敏
喘气听着有杂音	粗糙呼吸音
咳血丝	咯血
鼻水有点	鼻流涕
起红点	皮疹
烧38.6	发热
手脚烫	发热
出疹子	皮疹
诊子	皮疹
出现红点	皮疹
不愿意动	精神软
嗓子有呼噜声	痰鸣音
喉软骨发育不好	喉软管发育不良
水鼻水	鼻流涕
高于38.5	中等度热
幼儿急症	幼儿急疹
打呼噜声	打鼾
双肺呼吸音粗糙	粗糙呼吸音
重症肺炎	肺炎
大肠杆菌感染	细菌感染
先天性的心脏病	心脏病
呼吸道的病毒感染	病毒感染
不喝水	食欲不振
今天没大便	便秘
脸色很黄	皮肤黄
吃的比较少	食欲不振
左脚拐	扭伤
脚疼	疼痛
脚拐	扭伤
一过性髋关节滑膜炎	滑膜炎
走路拐	扭伤
拐	扭伤
手和脚比较热	发热
额头有点儿烫	发热
体热	上火
10才拉一次	便秘
有一点点干	大便干燥
免疫更差了	免疫力低下
身体很虚	免疫力低下
拉肚子带点血	腹泻
肠道问题	胃肠功能紊乱
395	高热
384度	低热
热性的惊厥	热惊厥
吐了点奶	呕吐
大便是黄色稀稠样	稀便
脸还是黄	皮肤黄
四肢发抖	四肢厥冷
白眼	眼上翻
超过三十八度	中等度热
发烧就39.6	高热
大便没事，都是很干硬	大便干燥
大便每次都是很干硬	大便干燥
干	大便干燥
大便次数是比较干	大便干燥
末梢循环不好	血液循环差
活力差	精神软
刻	咳嗽
体温38度以下	低热
体温持续超过39度	高热
体温还会高	发热
挺稀的	稀便
脓液，血丝	脓血便
细菌或者病毒性炎症感染	细菌感染
腹部两侧微疼	腹痛
老是想睡觉	嗜睡
免疫力弱	免疫力低下
拉不出屎	便秘
几天没拉	便秘
眼睛也有眼屎	眼睛分泌物异常
超过三天没有解大便	便秘
不解大便	便秘
肠绞痛	肠痉挛
体温达38.5度以	中等度热
隐私部位也疼	疼痛
舌头有点儿发红	红肿
足月	早产
在手脚凉	四肢厥冷
体温超过39度	高热
拉的很干	大便干燥
大便一直比较干	大便干燥
巨结肠肠道闭锁	巨结肠
手稍微凉	四肢厥冷
手脚不热	四肢厥冷
肺里或者气管有炎症	肺炎
连续咳嗽	咳嗽
咳嗽了4次	咳嗽
嘴里有泡泡	口吐白沫
